name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie
Eddie Redmayne,,,,White,,Straight,2015.0,Best Actor,The Theory of Everything
J.K. Simmons,,,,White,,Straight,2015.0,Best Supporting Actor,Whiplash
Julianne Moore,,,,White,,Straight,2015.0,Best Actress,Still Alice
Patricia Arquette,,,,White,,Straight,2015.0,Best Supporting Actress,Boyhood
Alejandro G. Iñárritu,,,,Hispanic,,Straight,2015.0,Best Director,Birdman or (The Unexpected Virtue of Ignorance)
Leonardo DiCaprio,,,,White,,Straight,2016.0,Best Actor,The Revenant
Mark Rylance,,,,White,,Straight,2016.0,Best Supporting Actor,Bridge of Spies
Brie Larson,,,,White,,Straight,2016.0,Best Actress,Room
Alicia Vikander,,,,White,,Straight,2016.0,Best Supporting Actress,The Danish Girl
Alejandro G. Iñárritu,,,,Hispanic,,Straight,2016.0,Best Director,The Revenant
Casey Affleck,,,,White,,Straight,2017.0,Best Actor,Manchester by the Sea
Mahershala Ali,,,,Black,,Straight,2017.0,Best Supporting Actor,Moonlight
Emma Stone,,,,White,,Straight,2017.0,Best Actress,La La Land
Viola Davis,,,,Black,,Straight,2017.0,Best Supporting Actress,Fences
Damien Chazelle,,,,White,,Straight,2017.0,Best Director,La La Land
Gary Oldman,,,,White,,Straight,2018.0,Best Actor,Darkest Hour
Sam Rockwell,,,,White,,Straight,2018.0,Best Supporting Actor,"Three Billboards outside Ebbing, Missouri"
Frances McDormand,,,,White,,Straight,2018.0,Best Actress,"Three Billboards outside Ebbing, Missouri"
Allison Janney,,,,White,,Straight,2018.0,Best Supporting Actress,"I, Tonya"
Guillermo del Toro,,,,Hispanic,,Straight,2018.0,Best Director,The Shape of Water
Rami Malek,,,,Middle Eastern,,Straight,2019.0,Best Actor,Bohemian Rhapsody
Mahershala Ali,,,,Black,,Straight,2019.0,Best Supporting Actor,Green Book
Olivia Colman,,,,White,,Straight,2019.0,Best Actress,The Favourite
Regina King,,,,Black,,Straight,2019.0,Best Supporting Actress,If Beale Street Could Talk
Alfonso Cuarón,,,,Hispanic,,Straight,2019.0,Best Director,Roma
Joaquin Phoenix,,,,White,,Straight,2020.0,Best Actor,Joker
Brad Pitt,,,,White,,Straight,2020.0,Best Supporting Actor,Once upon a Time...in Hollywood
Renée Zellweger,,,,White,,Straight,2020.0,Best Actress,Judy
Laura Dern,,,,White,,Straight,2020.0,Best Supporting Actress,Marriage Story
Bong Joon Ho,,,,Asian,,Straight,2020.0,Best Director,Parasite
Anthony Hopkins,,,,White,,Straight,2021.0,Best Actor,The Father
Daniel Kaluuya,,,,Black,,Straight,2021.0,Best Supporting Actor,Judas and the Black Messiah
Frances McDormand,,,,White,,Straight,2021.0,Best Actress,Nomadland
Yuh-Jung Youn,,,,Asian,,Straight,2021.0,Best Supporting Actress,Minari
Chloé Zhao,,,,Asian,,Straight,2021.0,Best Director,Nomadland
Will Smith,,,,Black,,Straight,2022.0,Best Actor,King Richard
Troy Kotsur,,,,White,,Straight,2022.0,Best Supporting Actor,CODA
Jessica Chastain,,,,White,,Straight,2022.0,Best Actress,The Eyes of Tammy Faye
Ariana DeBose,,,,Hispanic,,Bisexual,2022.0,Best Supporting Actress,West Side Story
Jane Campion,,,,White,,Straight,2022.0,Best Director,The Power of the Dog
Brendan Fraser,,,,White,,Straight,2023.0,Best Actor,The Whale
Ke Huy Quan,,,,Asian,,Straight,2023.0,Best Supporting Actor,Everything Everywhere All at Once
Michelle Yeoh,,,,Asian,,Straight,2023.0,Best Actress,Everything Everywhere All at Once
Jamie Lee Curtis,,,,White,,Straight,2023.0,Best Supporting Actress,Everything Everywhere All at Once
Daniel Kwan and Daniel Scheinert,,,,Multiracial,,Straight,2023.0,Best Director,Everything Everywhere All at Once
Cillian Murphy,,,,White,,Straight,2024.0,Best Actor,Oppenheimer
Robert Downey Jr.,,,,White,,Straight,2024.0,Best Supporting Actor,Oppenheimer
Emma Stone,,,,White,,Straight,2024.0,Best Actress,Poor Things
Da'Vine Joy Randolph,,,,Black,,Straight,2024.0,Best Supporting Actress,The Holdovers
Christopher Nolan,,,,White,,Straight,2024.0,Best Director,Oppenheimer
