name,birth_year,birth_date,birthplace,race_ethnicity,religion,sexual_orientation,year_edition,category,movie,age_at_win
Marie Dressler,1868.0,1868-11-02,"Cobourg, Ontario, Canada",White,Unknown,Straight,1931.0,Best Actress,Min and Bill,63.0
George Arliss,1868.0,1868-04-10,"London, England",White,Unknown,Straight,1930.0,Best Actor,Desraeli,62.0
Edmund Gwenn,1875.0,1875-09-26,"Vale of Glamorgan, Wales",White,Unknown,Unknown,1948.0,Best Supporting Actor,Miracle on 34th Street,73.0
Charles Coburn,1877.0,1877-06-17,"Savannah, Ga",White,Unknown,Straight,1944.0,Best Supporting Actor,The More the Merrier,67.0
Lionel Barrymore,1878.0,1878-04-28,"Philadelphia, Pa",White,Roman Catholic,Straight,1931.0,Best Actor,A Free Soul,53.0
Jane Darwell,1879.0,1879-10-15,"Palmyra, Mo",White,Unknown,Straight,1941.0,Best Supporting Actress,The Grapes of Wrath,62.0
Ethel Barrymore,1879.0,1879-08-15,"Philadelphia, Pa",White,Roman Catholic,Straight,1945.0,Best Supporting Actress,None but the Lonely Heart,66.0
Donald Crisp,1880.0,1880-07-27,"London, England",White,Unknown,Straight,1942.0,Best Supporting Actor,How Green Was My Valley,62.0
Victor McLaglen,1883.0,1883-12-11,"Tunbridge Wells, Kent, England",White,Anglican/episcopalian,Straight,1936.0,Best Actor,The Informer,53.0
Victor Fleming,1883.0,1883-02-23,"Pasadena, Ca",White,Unknown,Straight,1940.0,Best Director,Gone with the Wind,57.0
Walter Huston,1884.0,1884-04-06,"Toronto, Ontario, Canada",White,Unknown,Straight,1949.0,Best Supporting Actor,The Treasure of the Sierra Madre,65.0
Emil Jannings,1884.0,1884-07-23,"Rorschach, Switzerland",White,Unknown,Bisexual,1929.0,Best Actor,The Last Command,45.0
Wallace Beery,1885.0,1885-04-01,"Kansas City, Mo",White,Unknown,Straight,1932.0,Best Actor,The Champ,47.0
Josephine Hull,1886.0,1886-01-03,"Newtonville, Ma",White,Unknown,Straight,1951.0,Best Supporting Actress,Harvey,65.0
